manger_ID,First Name,Last Name,Team ID,Age,Date,End Date
1,Christopher,Williams,349,56,1948-04-25,1949-04-25
2,Brad,Griffith,392,23,1985-02-01,1986-02-01
3,Alexandria,Reese,234,50,1964-02-13,1965-02-12
4,Karen,Miller,398,75,2001-09-18,2002-09-18
5,Justin,Bond,437,60,2014-11-22,2015-11-22
6,Carlos,Collier,87,22,2009-02-12,2010-02-12
7,Collin,Berry,60,68,1946-09-19,1947-09-19
8,Paul,White,115,26,1952-02-05,1953-02-04
9,Susan,Jones,196,34,2001-07-31,2002-07-31
10,Samuel,Hatfield,372,18,1968-06-19,1969-06-19
11,Richard,Davila,286,79,1995-11-22,1996-11-21
12,Christopher,Sims,42,59,1963-05-27,1964-05-26
13,Melissa,Rhodes,329,43,1983-09-20,1984-09-19
14,Christopher,Mcdonald,90,65,1975-04-11,1976-04-10
15,Dennis,Valenzuela,294,60,1951-02-10,1952-02-10
16,Stacey,Stafford,190,64,2009-03-06,2010-03-06
17,Barbara,Carpenter,64,24,1958-11-13,1959-11-13
18,Jennifer,Stokes,260,41,2017-04-19,2018-04-19
19,Courtney,Myers,42,31,2002-06-15,2003-06-15
20,Mark,Melendez,340,36,2022-05-24,2023-05-24
21,Brian,Farmer,475,45,2009-02-03,2010-02-03
22,Nicole,Donaldson,268,22,1957-10-07,1958-10-07
23,Rebecca,Gonzalez,42,26,2010-02-22,2011-02-22
24,Daniel,Gray,332,40,2015-08-12,2016-08-11
25,Andrea,Johnson,31,45,1948-07-01,1949-07-01
26,Juan,Gutierrez,466,52,1999-10-24,2000-10-23
27,Nathan,Sanders,45,72,1999-04-20,2000-04-19
28,Manuel,Powell,394,21,1995-03-07,1996-03-06
29,Dennis,Thomas,47,18,1973-10-07,1974-10-07
30,John,Hill,397,65,2012-08-07,2013-08-07
31,Jennifer,Alexander,132,39,1997-05-12,1998-05-12
32,Matthew,Cantu,421,41,1998-06-03,1999-06-03
33,Whitney,Jones,454,70,2022-09-11,2023-09-11
34,Jonathan,Evans,86,61,1984-02-21,1985-02-20
35,Ellen,Berry,172,28,2003-11-15,2004-11-14
36,Justin,Mclaughlin,74,44,2010-06-30,2011-06-30
37,Timothy,White,286,28,2009-02-22,2010-02-22
38,Keith,Mason,407,77,1994-06-06,1995-06-06
39,Timothy,English,323,46,1982-01-09,1983-01-09
40,Gabrielle,Moore,477,26,1960-05-24,1961-05-24
41,Brian,Garcia,495,60,1954-06-04,1955-06-04
42,Marie,Dickson,307,24,1972-09-08,1973-09-08
43,Steven,Martinez,403,19,1986-05-27,1987-05-27
44,Gregory,Davis,340,59,1971-11-29,1972-11-28
45,Christina,Thompson,410,30,1950-01-19,1951-01-19
46,Brett,Nelson,263,27,2008-11-01,2009-11-01
47,Diane,Smith,433,34,2000-10-09,2001-10-09
48,Michael,Bowman,198,43,1961-03-13,1962-03-13
49,Todd,Bradshaw,355,77,2005-06-29,2006-06-29
50,Jody,Klein,344,26,1994-10-20,1995-10-20
51,Daniel,Obrien,455,50,1990-11-21,1991-11-21
52,Abigail,Vaughan,301,43,1973-04-08,1974-04-08
53,Brittney,Sanchez,387,31,2021-04-22,2022-04-22
54,Margaret,Gallagher,214,78,1973-07-25,1974-07-25
55,Craig,Baker,301,60,1959-10-25,1960-10-24
56,Jessica,Gray,341,76,1948-11-13,1949-11-13
57,William,Fernandez,323,29,2000-01-17,2001-01-16
58,Brittany,Martin,210,39,1952-09-26,1953-09-26
59,Samantha,Garcia,173,37,1986-06-23,1987-06-23
60,Christopher,Fletcher,408,43,2001-02-24,2002-02-24
61,Brianna,Miller,42,29,1948-07-22,1949-07-22
62,Lisa,Lopez,355,27,1979-09-26,1980-09-25
63,Kendra,Olson,494,57,1959-08-02,1960-08-01
64,Ryan,Sanders,407,47,2004-06-15,2005-06-15
65,Zachary,Nelson,61,28,2012-10-16,2013-10-16
66,Kimberly,Taylor,315,33,1957-05-10,1958-05-10
67,Robin,Henderson,459,20,2015-10-21,2016-10-20
68,Heather,Tucker,475,54,1966-01-13,1967-01-13
69,Mario,Hampton,3,74,2004-11-23,2005-11-23
70,Jay,Murphy,148,61,2007-02-27,2008-02-27
71,Ryan,Miller,338,80,1956-08-17,1957-08-17
72,Walter,Kelly,184,40,1954-08-21,1955-08-21
73,Jennifer,Phillips,173,27,1987-09-30,1988-09-29
74,Kyle,Robinson,238,71,1971-10-10,1972-10-09
75,Kendra,Graham,109,26,2007-07-19,2008-07-18
76,Kenneth,Hansen,241,77,1999-10-19,2000-10-18
77,Tonya,Higgins,87,24,1962-09-06,1963-09-06
78,Benjamin,Wolfe,249,46,2021-07-24,2022-07-24
79,Travis,Ortiz,95,22,1983-02-28,1984-02-28
80,Amanda,Higgins,1,41,2008-05-09,2009-05-09
81,Jessica,Jackson,388,78,1957-09-12,1958-09-12
82,John,Kelly,113,80,1949-07-11,1950-07-11
83,Kimberly,Brooks,466,54,1961-05-22,1962-05-22
84,Connie,Cobb,99,41,2018-04-22,2019-04-22
85,Kyle,Moore,277,60,1979-04-10,1980-04-09
86,Gabrielle,Cameron,33,66,1949-05-11,1950-05-11
87,Andrew,Peterson,250,73,2015-03-28,2016-03-27
88,Maria,Cooper,405,44,1960-02-27,1961-02-26
89,Pamela,Sandoval,288,73,2018-11-14,2019-11-14
90,Bryan,Jenkins,425,61,1989-01-11,1990-01-11
91,Jenna,Cook,43,19,1954-10-31,1955-10-31
92,Melissa,Turner,329,80,1974-04-21,1975-04-21
93,Jacqueline,Monroe,334,64,1982-10-30,1983-10-30
94,Monique,Brown,324,66,1999-04-21,2000-04-20
95,Tyler,Robinson,387,55,1957-10-21,1958-10-21
96,Leslie,Browning,433,69,1946-01-10,1947-01-10
97,Christopher,Hawkins,201,24,1968-10-28,1969-10-28
98,Anna,Jordan,33,27,1950-06-04,1951-06-04
99,Kim,Bishop,167,31,1976-07-23,1977-07-23
100,Rachel,Rios,208,31,1965-03-12,1966-03-12
101,Michele,Morgan,466,22,2018-08-28,2019-08-28
102,Blake,Malone,323,19,1978-05-21,1979-05-21
103,Andrew,Schroeder,390,24,1992-04-23,1993-04-23
104,Kimberly,Harris,216,43,1987-07-11,1988-07-10
105,Shannon,Kennedy,317,65,1958-09-05,1959-09-05
106,Mark,Kelly,435,43,1976-03-22,1977-03-22
107,Sherri,Wiggins,255,69,2016-11-08,2017-11-08
108,Ronald,Shaw,320,43,1974-05-23,1975-05-23
109,Tyler,Reyes,185,73,1967-07-21,1968-07-20
110,Ian,Young,405,22,1970-08-21,1971-08-21
111,Jessica,Douglas,4,44,2011-07-01,2012-06-30
112,Steven,Bailey,404,37,1986-10-02,1987-10-02
113,Patricia,Bass,318,48,1958-08-20,1959-08-20
114,Andre,Mendez,180,71,1984-08-06,1985-08-06
115,Derrick,Brown,215,37,2001-02-01,2002-02-01
116,Brandon,Graham,387,49,1947-11-02,1948-11-01
117,Kendra,Moore,338,73,1983-01-17,1984-01-17
118,Steve,Davis,202,61,1952-11-22,1953-11-22
119,Yvette,Green,47,69,1966-10-13,1967-10-13
120,Anthony,Ellison,193,70,1959-05-31,1960-05-30
121,Steven,Johnston,291,59,2016-10-28,2017-10-28
122,Laura,Vega,275,75,2002-10-09,2003-10-09
123,Jonathan,Mason,329,41,1985-02-17,1986-02-17
124,Chelsea,Johnson,52,20,1952-11-14,1953-11-14
125,Mark,Smith,84,19,1998-05-27,1999-05-27
126,Andrew,Dixon,6,65,1992-01-15,1993-01-14
127,Ann,Caldwell,193,19,1961-05-16,1962-05-16
128,Betty,Robbins,44,65,2013-11-23,2014-11-23
129,Heather,Marsh,278,78,1999-11-22,2000-11-21
130,James,Miller,87,69,2022-07-09,2023-07-09
131,Sarah,Martin,296,47,1993-09-01,1994-09-01
132,Todd,Barker,489,40,1977-02-07,1978-02-07
133,Anthony,Martin,486,23,1950-04-18,1951-04-18
134,Alyssa,Brock,368,23,2011-11-22,2012-11-21
135,Katie,Montgomery,125,40,1980-06-14,1981-06-14
136,Todd,Richards,349,32,1958-07-19,1959-07-19
137,Bruce,Campbell,329,70,1977-01-25,1978-01-25
138,Pamela,Sims,60,20,2022-10-13,2023-10-13
139,William,Mcdonald,426,39,1991-03-06,1992-03-05
140,Tara,Moore,419,51,1969-10-13,1970-10-13
141,Brandon,James,466,20,2013-03-06,2014-03-06
142,Bethany,Barrett,224,71,2011-03-28,2012-03-27
143,Edward,Baker,307,75,2002-11-14,2003-11-14
144,Regina,Williamson,90,20,1950-07-25,1951-07-25
145,Paul,Calderon,288,69,2011-04-17,2012-04-16
146,Tiffany,Brown,73,75,1995-08-17,1996-08-16
147,Julie,Peterson,374,55,1955-01-25,1956-01-25
148,Melissa,Ramsey,482,60,2000-07-02,2001-07-02
149,Erin,Phelps,99,76,2010-03-26,2011-03-26
150,Tammy,Johnson,29,44,1992-10-05,1993-10-05
151,Jennifer,Stephens,397,61,1980-04-18,1981-04-18
152,Richard,Hart,130,54,2011-11-26,2012-11-25
153,Joel,Meyer,433,50,1957-11-08,1958-11-08
154,Bruce,Davis,114,57,1973-03-09,1974-03-09
155,Hannah,Haynes,494,38,2017-03-29,2018-03-29
156,Richard,Bryan,458,38,2010-06-15,2011-06-15
157,Lorraine,Weaver,142,36,1971-01-28,1972-01-28
158,Angela,Anderson,427,69,1950-01-08,1951-01-08
159,Audrey,Shaffer,58,23,2022-04-11,2023-04-11
160,Amber,Waters,208,30,1964-02-16,1965-02-15
161,Ashley,Molina,395,46,1966-02-27,1967-02-27
162,Joseph,Ortiz,50,44,1962-01-15,1963-01-15
