First Name	Last Name	Team ID	Age	Date
Henry	Smith	361	23	1973-08-03
Eddie	Jones	279	67	2019-01-13
Derek	Velazquez	307	33	2005-04-28
Christopher	Thomas	98	19	2007-05-28
Erin	Stone	350	62	1974-10-09
Paul	Garcia	131	31	2002-01-31
Ryan	Hernandez	454	45	2017-06-25
Erin	Collins	180	63	2000-03-18
Carol	Hall	40	49	1956-07-31
Courtney	Swanson	238	75	1967-02-28
Brandon	Harris	190	52	1959-08-03
Audrey	Andrews	159	58	1959-01-25
Ashley	Sanchez	353	45	1976-11-11
Kevin	Berry	488	80	1990-03-15
Vanessa	Wilson	160	37	1992-09-11
Michael	Gray	241	59	1948-04-19
Bruce	Lindsey	12	66	1954-08-26
Robert	Valdez	277	34	1959-08-27
Larry	Webster	440	23	1962-03-24
James	Erickson	279	42	1959-08-14
Shelley	Mullins	291	50	1990-05-27
Rhonda	Martin	466	77	1983-07-25
Jessica	George	295	77	1979-06-03
Shane	Allen	328	62	1972-02-02
Melissa	Sherman	479	34	1987-07-23
John	Williams	117	25	1965-02-02
Stephen	Vargas	186	77	1958-11-26
Kathryn	Gallegos	495	62	1997-11-02
Amy	Lucas	7	42	2022-08-20
Courtney	Carroll	111	23	2009-04-25
William	West	86	21	1964-05-02
Travis	West	211	65	2021-02-23
Alan	Robertson	204	52	1985-04-27
Sandra	Roy	90	77	1986-02-23
Billy	Harris	220	68	1986-09-06
Nicholas	Harrison	231	30	1984-03-16
Joshua	Sanders	300	61	2002-11-06
Michele	Martin	132	75	2003-05-16
Thomas	Davis	221	26	2023-06-06
Alan	Fields	243	45	1968-01-25
Crystal	Simon	420	31	1971-05-17
Kristen	English	3	44	2019-02-17
Traci	Richard	281	39	1948-11-03
Timothy	Hunter	175	69	1978-04-04
Jennifer	Bolton	479	40	2021-02-10
Tyler	Gates	175	66	1977-07-05
Kelly	Meyers	437	72	1962-04-08
Sarah	Andrews	66	49	1963-08-11
Michael	Ward	139	37	2021-04-22
Hannah	Freeman	308	32	1950-09-24
Mary	Smith	4	73	1969-11-02
Frederick	Murillo	392	33	1979-04-19
Joshua	Sosa	235	64	2013-04-29
Blake	Moore	182	33	1952-06-05
Henry	Benton	2	62	1999-06-04
Lisa	Davis	486	61	1982-06-01
Brian	Rodriguez	349	71	1995-06-25
John	Lang	352	20	1971-09-27
Ashley	Thornton	249	64	1990-08-27
Thomas	Morgan	398	67	1985-10-11
Jeffrey	Rodriguez	344	74	1981-09-04
Matthew	Lopez	239	48	1977-07-05
Amanda	Davis	35	37	1953-11-23
Katie	Green	323	56	1997-07-29
Jared	Valdez	37	71	1960-06-21
Patrick	Perry	455	45	2022-11-14
Brian	Woodward	349	61	1985-03-27
Chase	Petersen	170	31	1946-10-25
Steven	Coffey	57	49	2019-10-08
Andrew	Clark	50	74	1981-02-26
Gloria	Stewart	264	61	1957-04-08
Brendan	Mcdowell	200	41	2011-06-15
Rachel	Ramsey	303	77	2022-09-08
Mitchell	Lawrence	261	56	1985-11-01
Ruth	Hill	2	59	1974-07-18
