manger_ID,First Name,Last Name,Team ID,Age,Date,End Date
1,Frederick,Martin,260,42,2022-08-08,2023-08-08
2,Alexis,Luna,207,64,1964-05-08,1965-05-08
3,Eric,Hunter,73,39,1999-02-17,2000-02-17
4,Andrea,Carson,399,68,1980-09-18,1981-09-18
5,Mark,Dickson,151,48,1990-08-16,1991-08-16
6,Denise,Wolfe,214,40,1952-11-29,1953-11-29
7,Steven,Kennedy,330,37,1964-05-28,1965-05-28
8,Derek,Hodges,344,77,1982-04-20,1983-04-20
9,Christopher,Fox,182,79,1951-01-12,1952-01-12
10,Joseph,Harmon,348,68,2020-11-14,2021-11-14
11,Marcus,Brown,113,23,1998-08-23,1999-08-23
12,Holly,Beasley,27,62,1976-05-08,1977-05-08
13,Claudia,Russell,209,72,2008-07-11,2009-07-11
14,Franklin,Gilbert,465,51,1948-08-12,1949-08-12
15,Brian,Ortega,56,43,2007-07-16,2008-07-15
16,Melissa,Brooks,492,70,2012-03-19,2013-03-19
17,Richard,Davis,307,53,1984-04-06,1985-04-06
18,Paul,Wong,95,26,2019-04-11,2020-04-10
19,Nancy,Mann,210,66,1949-11-13,1950-11-13
20,Cynthia,Larson,388,38,1959-09-11,1960-09-10
21,Michael,Ryan,36,54,1976-03-28,1977-03-28
22,Michelle,Thomas,291,50,2014-10-14,2015-10-14
23,Chelsea,Wolfe,336,21,1948-06-24,1949-06-24
24,Destiny,Jones,118,40,1962-10-07,1963-10-07
25,Frank,Davis,208,72,2006-11-12,2007-11-12
26,Karen,Ford,427,50,2002-06-22,2003-06-22
27,Nicholas,Alexander,18,45,2022-04-16,2023-04-16
28,Brandon,Chapman,369,41,2007-10-05,2008-10-04
29,Patrick,Roberts,154,80,1999-03-16,2000-03-15
30,Ashley,Henson,308,70,1963-06-03,1964-06-02
31,Kevin,Perez,358,54,1954-01-12,1955-01-12
32,Brianna,Copeland,303,64,1968-04-20,1969-04-20
33,Roy,Williams,450,51,2023-01-06,2024-01-06
34,Kevin,Tran,482,46,2014-01-13,2015-01-13
35,Heather,Adams,328,21,1983-11-16,1984-11-15
36,Nicholas,Mooney,266,48,2021-06-07,2022-06-07
37,Vickie,Conley,289,21,2000-06-22,2001-06-22
38,Cassandra,Jackson,135,27,1948-07-23,1949-07-23
39,Gregory,Rush,198,76,1985-05-05,1986-05-05
40,Angel,Rogers,400,41,1978-10-08,1979-10-08
41,James,Phillips,372,19,2022-08-16,2023-08-16
